"waterbody_segment","pollutant_group","test_fraction","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample_year","number_of_detects","most_recent_detect_year","number_of_samples_exceeding_class_d","most_recent_class_d_exceedance","number_of_samples_since_last_class_d_exceedance","has_there_been_multi_class_d_exceedance_in_3yr","when_was_last_period_with_multi_class_d_exceedance"
"MELVIN HAZEN VALLEY BRANCH","PAH1",NA,"","","14","13","2021","0","Never","0","Never (D)","0","No (D)","Never (D)"
"NASH RUN","PAH1",NA,"","","7","3","2019","2","2014","0","Never (D)","0","No (D)","Never (D)"
"NORMANSTONE CREEK","PAH1",NA,"","","2","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"OXON RUN","PAH1",NA,"","","1","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"PINEHURST BRANCH","PAH1",NA,"","","4","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"PINEY BRANCH","PAH1",NA,"","","2","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"POPE BRANCH","PAH1",NA,"","","7","4","2019","0","Never","0","Never (D)","0","No (D)","Never (D)"
"PORTAL BRANCH","PAH1",NA,"","","2","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"POTOMAC LOWER","PAH1",NA,"","","13","13","2021","0","Never","0","Never (D)","0","No (D)","Never (D)"
"POTOMAC MIDDLE","PAH1",NA,"","","13","13","2021","1","2021","0","Never (D)","0","No (D)","Never (D)"
"POTOMAC UPPER","PAH1",NA,"","","13","13","2021","0","Never","0","Never (D)","0","No (D)","Never (D)"
"ROCK CREEK LOWER","PAH1",NA,"","","19","13","2021","0","Never","0","Never (D)","0","No (D)","Never (D)"
"ROCK CREEK UPPER","PAH1",NA,"","","11","0","2008","1","2008","0","Never (D)","0","No (D)","Never (D)"
"SOAPSTONE CREEK","PAH1",NA,"","","2","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"TEXAS AVENUE TRIBUTARY","PAH1",NA,"","","6","3","2019","1","2014","0","Never (D)","0","No (D)","Never (D)"
"TIDAL BASIN","PAH1",NA,"","","3","0","2014","1","2014","0","Never (D)","0","No (D)","Never (D)"
"WASHINGTON SHIP CHANNEL","PAH1",NA,"","","19","12","2016","0","Never","0","Never (D)","0","No (D)","Never (D)"
"WATTS BRANCH LOWER","PAH1",NA,"","","3","0","2014","1","2013","0","Never (D)","0","No (D)","Never (D)"
"WATTS BRANCH UPPER","PAH1",NA,"","","13","13","2021","0","Never","0","Never (D)","0","No (D)","Never (D)"
"BATTERY KEMBLE CREEK","PAH1",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"C&O CANAL","PAH1",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT CHAPLIN TRIBUTARY","PAH1",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DAVIS TRIBUTARY","PAH1",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FOUNDRY BRANCH","PAH1",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA LOWER","PAH2",NA,"","","52","40","2021","16","2016","2","2016 (D)","18","Yes","2016 - 2019"
"ANACOSTIA UPPER","PAH2",NA,"","","56","37","2019","31","2016","5","2016 (D)","28","Yes","2016 - 2019"
"BROAD BRANCH","PAH2",NA,"","","15","13","2021","0","Never","0","Never (D)","0","No (D)","Never (D)"
"DALECARLIA TRIBUTARY","PAH2",NA,"","","1","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"DUMBARTON OAKS","PAH2",NA,"","","16","13","2021","1","2020","0","Never (D)","0","No (D)","Never (D)"
"FENWICK BRANCH","PAH2",NA,"","","2","0","2013","1","2007","0","Never (D)","0","No (D)","Never (D)"
"FORT DUPONT TRIBUTARY","PAH2",NA,"","","13","13","2021","0","Never","0","Never (D)","0","No (D)","Never (D)"
"FORT STANTON TRIBUTARY","PAH2",NA,"","","20","16","2021","2","2014","1","2014 (D)","16","No (D)","Never (D)"
"HICKEY RUN","PAH2",NA,"","","6","3","2019","2","2014","2","2014 (D)","3","Yes","2013 - 2016"
"KINGMAN LAKE","PAH2",NA,"","","25","15","2019","14","2016","3","2016 (D)","10","Yes","2015 - 2018"
"KLINGLE VALLEY","PAH2",NA,"","","1","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"LUZON BRANCH","PAH2",NA,"","","2","0","2013","1","2007","0","Never (D)","0","No (D)","Never (D)"
"MELVIN HAZEN VALLEY BRANCH","PAH2",NA,"","","14","13","2021","0","Never","0","Never (D)","0","No (D)","Never (D)"
"NASH RUN","PAH2",NA,"","","7","3","2019","4","2018","3","2018 (D)","1","Yes","2013 - 2016"
"NORMANSTONE CREEK","PAH2",NA,"","","2","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"OXON RUN","PAH2",NA,"","","1","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"PINEHURST BRANCH","PAH2",NA,"","","4","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"PINEY BRANCH","PAH2",NA,"","","2","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"POPE BRANCH","PAH2",NA,"","","7","4","2019","1","2014","1","2014 (D)","4","No (D)","Never (D)"
"PORTAL BRANCH","PAH2",NA,"","","2","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"POTOMAC LOWER","PAH2",NA,"","","13","13","2021","0","Never","0","Never (D)","0","No (D)","Never (D)"
"POTOMAC MIDDLE","PAH2",NA,"","","13","13","2021","1","2020","1","2020 (D)","10","No (D)","Never (D)"
"POTOMAC UPPER","PAH2",NA,"","","13","13","2021","1","2020","1","2020 (D)","9","No (D)","Never (D)"
"ROCK CREEK LOWER","PAH2",NA,"","","19","13","2021","7","2020","1","2020 (D)","11","No (D)","Never (D)"
"ROCK CREEK UPPER","PAH2",NA,"","","11","0","2008","9","2008","0","Never (D)","0","No (D)","Never (D)"
"SOAPSTONE CREEK","PAH2",NA,"","","2","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"TEXAS AVENUE TRIBUTARY","PAH2",NA,"","","6","3","2019","1","2014","1","2014 (D)","3","No (D)","Never (D)"
"TIDAL BASIN","PAH2",NA,"","","3","0","2014","0","Never","0","Never (D)","0","No (D)","Never (D)"
"WASHINGTON SHIP CHANNEL","PAH2",NA,"","","19","12","2016","4","2016","2","2016 (D)","4","Yes","2016 - 2019"
"WATTS BRANCH LOWER","PAH2",NA,"","","3","0","2014","1","2013","0","Never (D)","0","No (D)","Never (D)"
"WATTS BRANCH UPPER","PAH2",NA,"","","13","13","2021","0","Never","0","Never (D)","0","No (D)","Never (D)"
"BATTERY KEMBLE CREEK","PAH2",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"C&O CANAL","PAH2",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT CHAPLIN TRIBUTARY","PAH2",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DAVIS TRIBUTARY","PAH2",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FOUNDRY BRANCH","PAH2",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA LOWER","PAH3",NA,"","","52","40","2021","2","2016","2","2016 (D)","18","Yes","2016 - 2019"
"ANACOSTIA UPPER","PAH3",NA,"","","56","37","2019","5","2016","5","2016 (D)","28","Yes","2016 - 2019"
"BROAD BRANCH","PAH3",NA,"","","15","13","2021","1","2020","1","2020 (D)","8","No (D)","Never (D)"
"DALECARLIA TRIBUTARY","PAH3",NA,"","","1","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"DUMBARTON OAKS","PAH3",NA,"","","16","13","2021","0","Never","0","Never (D)","0","No (D)","Never (D)"
"FENWICK BRANCH","PAH3",NA,"","","2","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"FORT DUPONT TRIBUTARY","PAH3",NA,"","","13","13","2021","0","Never","0","Never (D)","0","No (D)","Never (D)"
"FORT STANTON TRIBUTARY","PAH3",NA,"","","20","16","2021","0","Never","0","Never (D)","0","No (D)","Never (D)"
"HICKEY RUN","PAH3",NA,"","","6","3","2019","0","Never","0","Never (D)","0","No (D)","Never (D)"
"KINGMAN LAKE","PAH3",NA,"","","25","15","2019","2","2016","2","2016 (D)","15","Yes","2013 - 2016"
"KLINGLE VALLEY","PAH3",NA,"","","1","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"LUZON BRANCH","PAH3",NA,"","","2","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"MELVIN HAZEN VALLEY BRANCH","PAH3",NA,"","","14","13","2021","0","Never","0","Never (D)","0","No (D)","Never (D)"
"NASH RUN","PAH3",NA,"","","7","3","2019","2","2018","2","2018 (D)","1","No (D)","Never (D)"
"NORMANSTONE CREEK","PAH3",NA,"","","2","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"OXON RUN","PAH3",NA,"","","1","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"PINEHURST BRANCH","PAH3",NA,"","","4","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"PINEY BRANCH","PAH3",NA,"","","2","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"POPE BRANCH","PAH3",NA,"","","7","4","2019","1","2014","1","2014 (D)","4","No (D)","Never (D)"
"PORTAL BRANCH","PAH3",NA,"","","2","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"POTOMAC LOWER","PAH3",NA,"","","13","13","2021","0","Never","0","Never (D)","0","No (D)","Never (D)"
"POTOMAC MIDDLE","PAH3",NA,"","","13","13","2021","1","2020","1","2020 (D)","10","No (D)","Never (D)"
"POTOMAC UPPER","PAH3",NA,"","","13","13","2021","1","2020","1","2020 (D)","9","No (D)","Never (D)"
"ROCK CREEK LOWER","PAH3",NA,"","","19","13","2021","1","2020","1","2020 (D)","11","No (D)","Never (D)"
"ROCK CREEK UPPER","PAH3",NA,"","","11","0","2008","3","2008","3","2008 (D)","0","Yes","2007 - 2010"
"SOAPSTONE CREEK","PAH3",NA,"","","2","0","2013","0","Never","0","Never (D)","0","No (D)","Never (D)"
"TEXAS AVENUE TRIBUTARY","PAH3",NA,"","","6","3","2019","1","2014","1","2014 (D)","3","No (D)","Never (D)"
"TIDAL BASIN","PAH3",NA,"","","3","0","2014","0","Never","0","Never (D)","0","No (D)","Never (D)"
"WASHINGTON SHIP CHANNEL","PAH3",NA,"","","19","12","2016","2","2016","2","2016 (D)","4","Yes","2016 - 2019"
"WATTS BRANCH LOWER","PAH3",NA,"","","3","0","2014","0","Never","0","Never (D)","0","No (D)","Never (D)"
"WATTS BRANCH UPPER","PAH3",NA,"","","13","13","2021","0","Never","0","Never (D)","0","No (D)","Never (D)"
"BATTERY KEMBLE CREEK","PAH3",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"C&O CANAL","PAH3",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT CHAPLIN TRIBUTARY","PAH3",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DAVIS TRIBUTARY","PAH3",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FOUNDRY BRANCH","PAH3",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA LOWER","PCB_TOTAL",NA,"","","41","29","2021","0","2021","41","2021 (D)","0","Yes","2018 - 2021"
"ANACOSTIA UPPER","PCB_TOTAL",NA,"","","30","18","2016","0","Never","30","2016 (D)","0","Yes","2016 - 2019"
"BROAD BRANCH","PCB_TOTAL",NA,"","","6","5","2021","0","2021","6","2021 (D)","0","Yes","2018 - 2021"
"DALECARLIA TRIBUTARY","PCB_TOTAL",NA,"","","1","0","2013","0","Never","1","2013 (D)","0","No (D)","Never (D)"
"DUMBARTON OAKS","PCB_TOTAL",NA,"","","7","5","2021","0","2021","7","2021 (D)","0","Yes","2018 - 2021"
"FENWICK BRANCH","PCB_TOTAL",NA,"","","1","0","2013","0","Never","1","2013 (D)","0","No (D)","Never (D)"
"FORT DUPONT TRIBUTARY","PCB_TOTAL",NA,"","","5","5","2021","5","2021","5","2021 (D)","0","Yes","2018 - 2021"
"FORT STANTON TRIBUTARY","PCB_TOTAL",NA,"","","9","5","2021","0","2021","9","2021 (D)","0","Yes","2018 - 2021"
"HICKEY RUN","PCB_TOTAL",NA,"","","3","0","2014","0","Never","3","2014 (D)","0","Yes","2013 - 2016"
"KINGMAN LAKE","PCB_TOTAL",NA,"","","18","12","2016","0","Never","18","2016 (D)","0","Yes","2016 - 2019"
"KLINGLE VALLEY","PCB_TOTAL",NA,"","","1","0","2013","0","Never","1","2013 (D)","0","No (D)","Never (D)"
"LUZON BRANCH","PCB_TOTAL",NA,"","","1","0","2013","0","Never","1","2013 (D)","0","No (D)","Never (D)"
"MELVIN HAZEN VALLEY BRANCH","PCB_TOTAL",NA,"","","6","5","2021","0","2021","6","2021 (D)","0","Yes","2018 - 2021"
"NASH RUN","PCB_TOTAL",NA,"","","4","0","2014","0","Never","4","2014 (D)","0","Yes","2013 - 2016"
"NORMANSTONE CREEK","PCB_TOTAL",NA,"","","1","0","2013","0","Never","1","2013 (D)","0","No (D)","Never (D)"
"OXON RUN","PCB_TOTAL",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEHURST BRANCH","PCB_TOTAL",NA,"","","1","0","2013","0","Never","1","2013 (D)","0","No (D)","Never (D)"
"PINEY BRANCH","PCB_TOTAL",NA,"","","1","0","2013","0","Never","1","2013 (D)","0","No (D)","Never (D)"
"POPE BRANCH","PCB_TOTAL",NA,"","","3","0","2014","0","Never","3","2014 (D)","0","Yes","2013 - 2016"
"PORTAL BRANCH","PCB_TOTAL",NA,"","","2","0","2013","0","Never","2","2013 (D)","0","Yes","2013 - 2016"
"POTOMAC LOWER","PCB_TOTAL",NA,"","","5","5","2021","5","2021","5","2021 (D)","0","Yes","2018 - 2021"
"POTOMAC MIDDLE","PCB_TOTAL",NA,"","","5","5","2021","5","2021","5","2021 (D)","0","Yes","2018 - 2021"
"POTOMAC UPPER","PCB_TOTAL",NA,"","","5","5","2021","5","2021","5","2021 (D)","0","Yes","2018 - 2021"
"ROCK CREEK LOWER","PCB_TOTAL",NA,"","","5","5","2021","5","2021","5","2021 (D)","0","Yes","2018 - 2021"
"ROCK CREEK UPPER","PCB_TOTAL",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"SOAPSTONE CREEK","PCB_TOTAL",NA,"","","1","0","2013","0","Never","1","2013 (D)","0","No (D)","Never (D)"
"TEXAS AVENUE TRIBUTARY","PCB_TOTAL",NA,"","","3","0","2014","0","Never","3","2014 (D)","0","Yes","2013 - 2016"
"TIDAL BASIN","PCB_TOTAL",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WASHINGTON SHIP CHANNEL","PCB_TOTAL",NA,"","","16","12","2016","0","Never","16","2016 (D)","0","Yes","2016 - 2019"
"WATTS BRANCH LOWER","PCB_TOTAL",NA,"","","3","0","2014","0","Never","3","2014 (D)","0","Yes","2013 - 2016"
"WATTS BRANCH UPPER","PCB_TOTAL",NA,"","","5","5","2021","5","2021","5","2021 (D)","0","Yes","2018 - 2021"
"BATTERY KEMBLE CREEK","PCB_TOTAL",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"C&O CANAL","PCB_TOTAL",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT CHAPLIN TRIBUTARY","PCB_TOTAL",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DAVIS TRIBUTARY","PCB_TOTAL",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FOUNDRY BRANCH","PCB_TOTAL",NA,"","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
