"","waterbody_segment","pollutant_name","test_fraction","pollutant_group","n_samples","most_recent_sample_year","n_detects","most_recent_detect_year","n_sample_dates","n_ccc_exceedance","n_cmc_exceedance","n_d_exceedance","most_recent_ccc_exceedance_date","most_recent_ccc_exceedance_year","most_recent_cmc_exceedance_date","most_recent_cmc_exceedance_year","most_recent_d_exceedance_date","most_recent_d_exceedance_year","n_since_most_recent_ccc_exceedance","n_since_most_recent_cmc_exceedance","n_since_most_recent_d_exceedance","n_samples_2011_to_2021","most_recent_sample_2011_to_2021","n_detects_2011_to_2021","most_recent_detect_2011_to_2021","n_ccc_exceedance_2011_to_2021","n_cmc_exceedance_2011_to_2021","n_d_exceedance_2011_to_2021","n_samples_2016_to_2021","most_recent_sample_2016_to_2021","n_detects_2016_to_2021","most_recent_detect_2016_to_2021","n_ccc_exceedance_2016_to_2021","n_cmc_exceedance_2016_to_2021","n_d_exceedance_2016_to_2021","current_category","ccc_dl_ratio","cmc_dl_ratio","d_dl_ratio","decision_case_number"
"11","OXON RUN","ARSENIC","DISSOLVED","ARSENIC",1,2013,1,"2013",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,1,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","less than 1","greater than 1",8
"12","PINEY BRANCH","ARSENIC","DISSOLVED","ARSENIC",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","less than 1","greater than 1",8
"13","POPE BRANCH","ARSENIC","DISSOLVED","ARSENIC",1,2017,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2017,0,"Never",0,0,0,1,2017,0,"Never",0,0,0,"3","less than 1","less than 1","greater than 1",9
"14","POTOMAC LOWER","ARSENIC","DISSOLVED","ARSENIC",13,2021,10,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,10,"Never",0,0,0,13,2021,10,"Never",0,0,0,"Not Listed","less than 1","less than 1","greater than 1",15
"15","POTOMAC MIDDLE","ARSENIC","DISSOLVED","ARSENIC",13,2021,8,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,8,"Never",0,0,0,13,2021,8,"Never",0,0,0,"Not Listed","less than 1","less than 1","greater than 1",15
"16","POTOMAC UPPER","ARSENIC","DISSOLVED","ARSENIC",13,2021,9,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,9,"Never",0,0,0,13,2021,9,"Never",0,0,0,"Not Listed","less than 1","less than 1","greater than 1",15
"17","ROCK CREEK LOWER","ARSENIC","DISSOLVED","ARSENIC",13,2021,6,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,6,"Never",0,0,0,13,2021,6,"Never",0,0,0,"Not Listed","less than 1","less than 1","greater than 1",15
"18","TEXAS AVENUE TRIBUTARY","ARSENIC","DISSOLVED","ARSENIC",6,2019,6,"2019",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,6,"Never",0,0,0,3,2019,3,"Never",0,0,0,"4a","less than 1","less than 1","greater than 1",2
"19","WASHINGTON SHIP CHANNEL","ARSENIC","DISSOLVED","ARSENIC",16,2016,12,"2016",4,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,16,2016,12,"Never",0,0,0,12,2016,8,"Never",0,0,0,"Not Listed","less than 1","less than 1","greater than 1",15
"20","WATTS BRANCH LOWER","ARSENIC","DISSOLVED","ARSENIC",3,2017,2,"2017",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2017,2,"Never",0,0,0,3,2017,2,"Never",0,0,0,"Not Listed","less than 1","less than 1","greater than 1",15
"21","WATTS BRANCH UPPER","ARSENIC","DISSOLVED","ARSENIC",13,2021,11,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,11,"Never",0,0,0,13,2021,11,"Never",0,0,0,"Not Listed","less than 1","less than 1","greater than 1",15
"22","BATTERY KEMBLE CREEK","ARSENIC","DISSOLVED","ARSENIC",1,2013,1,"2013",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,1,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","less than 1","greater than 1",8
"23","FORT CHAPLIN TRIBUTARY","ARSENIC","DISSOLVED","ARSENIC",6,2019,6,"2019",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,6,"Never",0,0,0,3,2019,3,"Never",0,0,0,"4a","less than 1","less than 1","greater than 1",2
"24","FORT DAVIS TRIBUTARY","ARSENIC","DISSOLVED","ARSENIC",6,2019,5,"2019",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,5,"Never",0,0,0,3,2019,3,"Never",0,0,0,"4a","less than 1","less than 1","greater than 1",2
"25","FOUNDRY BRANCH","ARSENIC","DISSOLVED","ARSENIC",2,2013,2,"2013",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2013,2,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"Not Listed","less than 1","less than 1","greater than 1",15
"26","ANACOSTIA LOWER","COPPER","DISSOLVED","COPPER",52,2021,52,"2021",24,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,52,2021,52,"Never",0,0,0,40,2021,40,"Never",0,0,0,"4a","less than 1","less than 1","NA",2
"27","ANACOSTIA UPPER","COPPER","DISSOLVED","COPPER",56,2019,56,"2019",14,1,0,0,2016-12-01,"2016",NA,"Never",NA,"Never",21,0,0,56,2019,56,"Never",1,0,0,37,2019,37,"Never",1,0,0,"4a","less than 1","less than 1","NA",2
"28","BROAD BRANCH","COPPER","DISSOLVED","COPPER",13,2021,13,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,13,"Never",0,0,0,13,2021,13,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"29","DUMBARTON OAKS","COPPER","DISSOLVED","COPPER",13,2021,11,"2021",13,1,1,0,2020-08-12,"2020",2020-08-12,"2020",NA,"Never",10,10,0,13,2021,11,"Never",1,1,0,13,2021,11,"Never",1,1,0,"3","less than 1","less than 1","NA",9
"30","FORT DUPONT TRIBUTARY","COPPER","DISSOLVED","COPPER",19,2021,18,"2021",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,19,2021,18,"Never",0,0,0,16,2021,15,"Never",0,0,0,"3","less than 1","less than 1","NA",9
"31","FORT STANTON TRIBUTARY","COPPER","DISSOLVED","COPPER",20,2021,19,"2021",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,20,2021,19,"Never",0,0,0,16,2021,15,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"32","HICKEY RUN","COPPER","DISSOLVED","COPPER",150,2021,147,"2021",150,1,0,0,2018-01-12,"2018",NA,"Never",NA,"Never",71,0,0,150,2021,147,"Never",1,0,0,102,2021,100,"Never",1,0,0,"3","less than 1","less than 1","NA",9
"33","KINGMAN LAKE","COPPER","DISSOLVED","COPPER",25,2019,25,"2019",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,25,2019,25,"Never",0,0,0,15,2019,15,"Never",0,0,0,"3","less than 1","less than 1","NA",9
"34","MELVIN HAZEN VALLEY BRANCH","COPPER","DISSOLVED","COPPER",13,2021,12,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,12,"Never",0,0,0,13,2021,12,"Never",0,0,0,"3","less than 1","less than 1","NA",9
"35","NASH RUN","COPPER","DISSOLVED","COPPER",7,2019,7,"2019",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,7,"Never",0,0,0,3,2019,3,"Never",0,0,0,"3","less than 1","less than 1","NA",9
"36","OXON RUN","COPPER","DISSOLVED","COPPER",1,2013,1,"2013",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,1,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","less than 1","NA",8
"37","PINEY BRANCH","COPPER","DISSOLVED","COPPER",1,2013,1,"2013",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,1,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","less than 1","NA",8
"38","POPE BRANCH","COPPER","DISSOLVED","COPPER",1,2017,1,"2017",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2017,1,"Never",0,0,0,1,2017,1,"Never",0,0,0,"3","less than 1","less than 1","NA",9
"39","POTOMAC LOWER","COPPER","DISSOLVED","COPPER",13,2021,13,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,13,"Never",0,0,0,13,2021,13,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"40","POTOMAC MIDDLE","COPPER","DISSOLVED","COPPER",13,2021,12,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,12,"Never",0,0,0,13,2021,12,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"41","POTOMAC UPPER","COPPER","DISSOLVED","COPPER",13,2021,12,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,12,"Never",0,0,0,13,2021,12,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"42","ROCK CREEK LOWER","COPPER","DISSOLVED","COPPER",13,2021,13,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,13,"Never",0,0,0,13,2021,13,"Never",0,0,0,"4a","less than 1","less than 1","NA",2
"43","ROCK CREEK UPPER","COPPER","DISSOLVED","COPPER",155,2021,154,"2021",155,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,155,2021,154,"Never",0,0,0,107,2021,106,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"44","TEXAS AVENUE TRIBUTARY","COPPER","DISSOLVED","COPPER",6,2019,4,"2019",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,4,"Never",0,0,0,3,2019,1,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"45","WASHINGTON SHIP CHANNEL","COPPER","DISSOLVED","COPPER",16,2016,16,"2016",4,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,16,2016,16,"Never",0,0,0,12,2016,12,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"46","WATTS BRANCH LOWER","COPPER","DISSOLVED","COPPER",3,2017,3,"2017",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2017,3,"Never",0,0,0,3,2017,3,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"47","WATTS BRANCH UPPER","COPPER","DISSOLVED","COPPER",159,2021,156,"2021",157,1,0,0,2016-02-25,"2016",NA,"Never",NA,"Never",119,0,0,159,2021,156,"Never",1,0,0,113,2021,111,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"48","BATTERY KEMBLE CREEK","COPPER","DISSOLVED","COPPER",1,2013,1,"2013",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,1,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","less than 1","NA",8
"49","FORT CHAPLIN TRIBUTARY","COPPER","DISSOLVED","COPPER",6,2019,6,"2019",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,6,"Never",0,0,0,3,2019,3,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"50","FORT DAVIS TRIBUTARY","COPPER","DISSOLVED","COPPER",6,2019,4,"2019",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,4,"Never",0,0,0,3,2019,1,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"51","FOUNDRY BRANCH","COPPER","DISSOLVED","COPPER",2,2013,2,"2013",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2013,2,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"Not Listed","less than 1","less than 1","NA",15
"52","ANACOSTIA LOWER","LEAD","DISSOLVED","LEAD",49,2021,38,"2021",21,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,49,2021,38,"Never",0,0,0,37,2021,27,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"53","ANACOSTIA UPPER","LEAD","DISSOLVED","LEAD",37,2016,31,"2016",11,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,37,2016,31,"Never",0,0,0,18,2016,14,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"54","BROAD BRANCH","LEAD","DISSOLVED","LEAD",13,2021,6,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,6,"Never",0,0,0,13,2021,6,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"55","DUMBARTON OAKS","LEAD","DISSOLVED","LEAD",13,2021,4,"2021",13,1,0,0,2020-08-12,"2020",NA,"Never",NA,"Never",10,0,0,13,2021,4,"Never",1,0,0,13,2021,4,"Never",1,0,0,"Not Listed","less than 1","less than 1","NA",15
"56","FORT DUPONT TRIBUTARY","LEAD","DISSOLVED","LEAD",16,2021,7,"2020",16,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,16,2021,7,"Never",0,0,0,13,2021,4,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"57","FORT STANTON TRIBUTARY","LEAD","DISSOLVED","LEAD",17,2021,9,"2021",16,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,17,2021,9,"Never",0,0,0,13,2021,5,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"58","HICKEY RUN","LEAD","DISSOLVED","LEAD",150,2021,145,"2021",150,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,150,2021,145,"Never",0,0,0,102,2021,99,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"59","KINGMAN LAKE","LEAD","DISSOLVED","LEAD",22,2016,18,"2016",10,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,22,2016,18,"Never",0,0,0,12,2016,8,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"60","MELVIN HAZEN VALLEY BRANCH","LEAD","DISSOLVED","LEAD",13,2021,4,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,4,"Never",0,0,0,13,2021,4,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"61","NASH RUN","LEAD","DISSOLVED","LEAD",4,2014,4,"2014",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,4,2014,4,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"Not Listed","less than 1","less than 1","NA",15
"62","OXON RUN","LEAD","DISSOLVED","LEAD",1,2013,1,"2013",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,1,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"Not Listed","less than 1","less than 1","NA",15
"63","PINEY BRANCH","LEAD","DISSOLVED","LEAD",1,2013,1,"2013",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,1,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"Not Listed","less than 1","less than 1","NA",15
"64","POPE BRANCH","LEAD","DISSOLVED","LEAD",1,2017,1,"2017",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2017,1,"Never",0,0,0,1,2017,1,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"65","POTOMAC LOWER","LEAD","DISSOLVED","LEAD",13,2021,5,"2021",13,1,1,0,2020-09-11,"2020",2020-09-11,"2020",NA,"Never",9,9,0,13,2021,5,"Never",1,1,0,13,2021,5,"Never",1,1,0,"Not Listed","less than 1","less than 1","NA",15
"66","POTOMAC MIDDLE","LEAD","DISSOLVED","LEAD",13,2021,5,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,5,"Never",0,0,0,13,2021,5,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"67","POTOMAC UPPER","LEAD","DISSOLVED","LEAD",13,2021,4,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,4,"Never",0,0,0,13,2021,4,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"68","ROCK CREEK LOWER","LEAD","DISSOLVED","LEAD",13,2021,6,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,6,"Never",0,0,0,13,2021,6,"Never",0,0,0,"4a","less than 1","less than 1","NA",2
"69","ROCK CREEK UPPER","LEAD","DISSOLVED","LEAD",155,2021,148,"2021",155,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,155,2021,148,"Never",0,0,0,107,2021,104,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"70","TEXAS AVENUE TRIBUTARY","LEAD","DISSOLVED","LEAD",3,2014,2,"2014",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,2,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"Not Listed","less than 1","less than 1","NA",15
"71","WASHINGTON SHIP CHANNEL","LEAD","DISSOLVED","LEAD",16,2016,8,"2016",4,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,16,2016,8,"Never",0,0,0,12,2016,8,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"72","WATTS BRANCH LOWER","LEAD","DISSOLVED","LEAD",3,2017,2,"2017",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2017,2,"Never",0,0,0,3,2017,2,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"73","WATTS BRANCH UPPER","LEAD","DISSOLVED","LEAD",159,2021,131,"2021",157,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,159,2021,131,"Never",0,0,0,113,2021,92,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA",15
"74","BATTERY KEMBLE CREEK","LEAD","DISSOLVED","LEAD",1,2013,1,"2013",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,1,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"Not Listed","less than 1","less than 1","NA",15
"75","FORT CHAPLIN TRIBUTARY","LEAD","DISSOLVED","LEAD",3,2014,3,"2014",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,3,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"Not Listed","less than 1","less than 1","NA",15
"76","FORT DAVIS TRIBUTARY","LEAD","DISSOLVED","LEAD",3,2014,3,"2014",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,3,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"Not Listed","less than 1","less than 1","NA",15
"77","FOUNDRY BRANCH","LEAD","DISSOLVED","LEAD",2,2013,2,"2013",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2013,2,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"Not Listed","less than 1","less than 1","NA",15
"78","ANACOSTIA LOWER","MERCURY","DISSOLVED","MERCURY",49,2021,2,"2016",21,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,49,2021,2,"Never",0,0,0,37,2021,0,"Never",0,0,0,"Not Listed","less than 1","less than 1","less than 1",15
"79","ANACOSTIA UPPER","MERCURY","DISSOLVED","MERCURY",30,2016,1,"2016",8,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,30,2016,1,"Never",0,0,0,18,2016,0,"Never",0,0,0,"Not Listed","less than 1","less than 1","less than 1",15
"80","BROAD BRANCH","MERCURY","DISSOLVED","MERCURY",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","less than 1","less than 1",15
"81","DUMBARTON OAKS","MERCURY","DISSOLVED","MERCURY",13,2021,1,"2020",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,1,"Never",0,0,0,13,2021,1,"Never",0,0,0,"Not Listed","less than 1","less than 1","less than 1",15
"82","FORT DUPONT TRIBUTARY","MERCURY","DISSOLVED","MERCURY",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","less than 1","less than 1",15
"83","FORT STANTON TRIBUTARY","MERCURY","DISSOLVED","MERCURY",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","less than 1","less than 1",15
"84","HICKEY RUN","MERCURY","DISSOLVED","MERCURY",1,2017,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2017,0,"Never",0,0,0,1,2017,0,"Never",0,0,0,"Not Listed","less than 1","less than 1","less than 1",15
"85","KINGMAN LAKE","MERCURY","DISSOLVED","MERCURY",18,2016,2,"2016",7,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,18,2016,2,"Never",0,0,0,12,2016,0,"Never",0,0,0,"Not Listed","less than 1","less than 1","less than 1",15
"86","MELVIN HAZEN VALLEY BRANCH","MERCURY","DISSOLVED","MERCURY",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","less than 1","less than 1",15
"87","POPE BRANCH","MERCURY","DISSOLVED","MERCURY",1,2017,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2017,0,"Never",0,0,0,1,2017,0,"Never",0,0,0,"Not Listed","less than 1","less than 1","less than 1",15
"88","POTOMAC LOWER","MERCURY","DISSOLVED","MERCURY",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","less than 1","less than 1",15
"89","POTOMAC MIDDLE","MERCURY","DISSOLVED","MERCURY",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","less than 1","less than 1",15
"90","POTOMAC UPPER","MERCURY","DISSOLVED","MERCURY",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","less than 1","less than 1",15
"91","ROCK CREEK LOWER","MERCURY","DISSOLVED","MERCURY",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"4a","less than 1","less than 1","less than 1",3
"92","ROCK CREEK UPPER","MERCURY","DISSOLVED","MERCURY",1,2002,1,"2002",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,"4a","less than 1","less than 1","less than 1",2
"93","WASHINGTON SHIP CHANNEL","MERCURY","DISSOLVED","MERCURY",16,2016,0,"Never",4,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,16,2016,0,"Never",0,0,0,12,2016,0,"Never",0,0,0,"Not Listed","less than 1","less than 1","less than 1",15
